kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
鮮	4	N1	WK25	G8	FQ355	あざ.やか	せん	Fresh,Vivid,Clear,Brilliant,Korea
監	4	N1	WK29	G8	FQ408		かん	Oversee,Official,Govt Office,Rule,Administer
環	4	N1	WK24	G8	FQ409	わ	かん	Ring,Circle,Link,Wheel
訴	4	N1	WK25	G8	FQ427	うった.える	そ	Accusation,Sue,Complain Of Pain,Appeal To
被	4	N2	WK20	G8	FQ431	こうむ.る,おお.う,かぶ.る,かぶ.せる	ひ	Incur,Cover,Veil,Brood Over,Shelter,Wear,Put On,Be Exposed (film),Receiving
渡	4	N3	WK25	G8	FQ446	わた.る,-わた.る,わた.す	と	Transit,Ford,Ferry,Cross,Import,Deliver,Diameter,Migrate
影	4	N1	WK25	G8	FQ464	かげ	えい	Shadow,Silhouette,Phantom
含	4	N2	WK25	G8	FQ466	ふく.む,ふく.める	がん	Contain,Include,Hold In The Mouth,Bear In Mind,Understand,Cherish
撃	4	N1	WK28	G8	FQ473	う.つ	げき	Beat,Attack,Defeat,Conquer
況	4	N2	WK25	G8	FQ490	まし.て,いわ.んや,おもむき	きょう	Condition,Situation
響	4	N1	WK25	G8	FQ502	ひび.く	きょう	Echo,Sound,Resound,Ring,Vibrate
突	4	N3	WK26	G8	FQ521	つ.く	とつ,か	Stab,Protruding,Thrust,Pierce,Prick,Collision,Sudden
攻	4	N1	WK28	G8	FQ532	せ.める	こう	Aggression,Attack,Criticize,Polish
及	4	N1	WK36	G8	FQ544	およ.ぶ,およ.び,および,およ.ぼす	きゅう	Reach Out,Exert,Exercise,Cause
離	4	N1	WK31	G8	FQ555	はな.れる,はな.す	り	Detach,Separation,Disjoin,Digress
摘	4	N1	WK36	G8	FQ564	つ.む	てき	Pinch,Pick,Pluck,Trim,Clip,Summarize
郎	4	N1	WK27	G8	FQ569	おとこ	ろう,りょう	Son,Counter For Sons
療	4	N2	WK36	G8	FQ600		りょう	Heal,Cure
捕	4	N3	WK25	G8	FQ604	と.らえる,と.らわれる,と.る,とら.える,とら.われる,つか.まえる,つか.まる	ほ	Catch,Capture
振	4	N1	WK26	G8	FQ614	ふ.る,ぶ.る,ふ.り,-ぶ.り,ふ.るう	しん	Shake,Wave,Wag,Swing
介	4	N2	WK35	G8	FQ617		かい	Jammed In,Shellfish,Mediate,Concern Oneself With
迎	4	N3	WK32	G8	FQ625	むか.える	げい	Welcome,Meet,Greet
販	4	N2	WK24	G8	FQ627		はん	Marketing,Sell,Trade
幅	4	N2	WK36	G8	FQ641	はば	ふく	Hanging Scroll,Width
維	4	N1	WK36	G8	FQ643		い	Fiber,Tie,Rope
浜	4	N1	WK28	G8	FQ645	はま	ひん	Seacoast,Beach,Seashore
彼	4	N3	WK35	G8	FQ648	かれ,かの,か.の	ひ	He,That,The
般	4	N2	WK36	G8	FQ649		はん	Carrier,Carry,All,General,Sort,Kind
舞	4	N3	WK36	G8	FQ655	ま.う,-ま.う,まい	ぶ	Dance,Flit,Circle,Wheel
遣	4	N1	WK37	G8	FQ664	つか.う,-つか.い,-づか.い,つか.わす,や.る	けん	Dispatch,Despatch,Send,Give,Donate,Do,Undertake
抗	4	N1	WK37	G8	FQ666	あらが.う	こう	Confront,Resist,Defy,Oppose
雄	4	N1	WK29	G8	FQ669	お-,おす,おん	ゆう	Masculine,Male,Hero,Leader,Superiority,Excellence
込	4	N3	WK32	G8	FQ675	-こ.む,こ.む,こ.み,-こ.み,こ.める		Crowded,Mixture,In Bulk,Included,(kokuji)
占	4	N2	WK26	G8	FQ694	し.める,うらな.う	せん	Fortune-telling,Divining,Forecasting,Occupy,Hold,Have,Get,Take
頼	4	N3	WK36	G8	FQ708	たの.む,たの.もしい,たよ.る	らい	Trust,Request
途	4	N3	WK27	G8	FQ717	みち	と	Route,Way,Road
踏	4	N1	WK36	G8	FQ723	ふ.む,ふ.まえる	とう	Step,Trample,Carry Through,Appraise,Evade Payment
抜	4	N3	WK25	G8	FQ726	ぬ.く,-ぬ.く,ぬ.き,ぬ.ける,ぬ.かす,ぬ.かる	ばつ,はつ,はい	Slip Out,Extract,Pull Out,Pilfer,Quote,Remove,Omit
壊	4	N1	WK29	G8	FQ727	こわ.す,こわ.れる,やぶ.る	かい,え	Demolition,Break,Destroy
爆	4	N2	WK37	G8	FQ735	は.ぜる	ばく	Bomb,Burst Open,Pop,Split
儀	4	N1	WK41	G8	FQ739		ぎ	Ceremony,Rule,Affair,Case,A Matter
継	4	N1	WK36	G8	FQ743	つ.ぐ,まま-	けい	Inherit,Succeed,Continue,Patch,Graft (tree)
闘	4	N1	WK37	G8	FQ751	たたか.う,あらそ.う	とう	Fight,War
避	4	N1	WK38	G8	FQ756	さ.ける,よ.ける	ひ	Evade,Avoid,Avert,Ward Off,Shirk,Shun
普	4	N2	WK31	G8	FQ757	あまね.く,あまねし	ふ	Universal,Wide(ly),Generally,Prussia
婚	4	N3	WK30	G8	FQ767		こん	Marriage
齢	4	N2	WK38	G8	FQ770	よわい,とし	れい	Age
迫	4	N1	WK27	G8	FQ773	せま.る	はく	Urge,Force,Imminent,Spur On
浮	4	N3	WK30	G8	FQ776	う.く,う.かれる,う.かぶ,む,う.かべる	ふ	Floating,Float,Rise To Surface
惑	4	N1	WK27	G8	FQ777	まど.う	わく	Beguile,Delusion,Perplexity
脱	4	N1	WK22	G8	FQ782	ぬ.ぐ,ぬ.げる	だつ	Undress,Removing,Escape From,Get Rid Of,Be Left Out,Take Off
押	4	N3	WK30	G8	FQ789	お.す,お.し-,お.っ-,お.さえる,おさ.える	おう	Push,Stop,Check,Subdue,Attach,Seize,Weight,Shove,Press,Seal,Do In Spite Of
倒	4	N3	WK20	G8	FQ791	たお.れる,-だお.れ,たお.す,さかさま,さかさ,さかしま	とう	Overthrow,Fall,Collapse,Drop,Break Down
執	4	N1	WK37	G8	FQ800	と.る	しつ,しゅう	Tenacious,Take Hold,Grasp,Take To Heart
絡	4	N2	WK19	G8	FQ806	から.む,から.まる	らく	Entwine,Coil Around,Get Caught In
払	4	N3	WK35	G8	FQ813	はら.う,-はら.い,-ばら.い	ふつ,ひつ,ほつ	Pay,Clear Out,Prune,Banish,Dispose Of
